user_id,email,phone,conversion_at
u_1000,camila.nunes@gmail.com,+55 (40) 93452-3917,2023-10-15 16:00:00
u_1001,JULIA.SILVA@OUTLOOK.COM,+55 (60) 98988-2249,
u_1002,ana.souza@yahoo.com.br,+55 (35) 95581-2114,
u_1003,marcos.alves@uol.com.br,+55 (45) 91243-1305,2023-10-14 08:14:56
u_1004,BRUNA.SILVA@GMAIL.COM,+55 (71) 92406-6760,2023-11-22 03:40:57
u_1005,carlos.oliveira@gmail.com,+55 (13) 90792-6578,
u_1006,julia.lima@uol.com.br,+55 (83) 92762-7711,2023-01-14 23:05:28
u_1007,patricia.mendes@gmail.com,+55 (64) 96160-5136,
u_1008,roberto.lima@hotmail.com,+55 (59) 99997-6411,2023-06-13 02:32:54
u_1009,ana.silva@outlook.com,+55 (79) 95867-2221,2023-07-10 01:01:18
u_1010,MARCOS.LIMA@OUTLOOK.COM,+55 (87) 99428-8124,2023-01-05 20:52:19
u_1011,roberto.costa@hotmail.com,+55 (88) 98126-6858,2023-09-20 21:45:46
u_1012,bruna.silva@hotmail.com,+55 (63) 91089-5749,
u_1013,maria.alves@yahoo.com.br,+55 (18) 90577-4304,
u_1014,ana.souza@hotmail.com,+55 (49) 93942-2890,2023-09-27 05:13:13
u_1015,marcos.mendes@yahoo.com.br,+55 (83) 96328-8803,
u_1016,ana.pereira@hotmail.com,+55 (43) 91293-7541,
u_1017,lucas.souza@hotmail.com,+55 (77) 99366-5563,2023-05-23 03:34:08
u_1018,maria.rodrigues@gmail.com,+55 (23) 97115-9424,
u_1019,carlos.nunes@outlook.com,+55 (77) 99009-5895,2023-01-18 22:38:13
u_1020,carlos.ferreira@uol.com.br,+55 (13) 92721-7819,2023-03-21 20:58:12
u_1021,maria.alves@gmail.com,+55 (84) 90442-2523,
u_1022,lucas.ferreira@outlook.com,+55 (27) 91340-3333,2023-07-17 15:52:03
u_1023,patricia.pereira@hotmail.com,+55 (69) 93096-4547,2023-02-14 21:04:24
u_1024,julia.mendes@uol.com.br,+55 (32) 91438-3721,2023-05-21 21:31:34
u_1025,lucas.pereira@gmail.com,+55 (97) 90883-5462,2023-07-03 17:21:55
u_1026,camila.lima@outlook.com,+55 (88) 94662-5180,
u_1027,carlos.pereira@gmail.com,+55 (70) 91631-6547,2023-09-18 07:22:38
u_1028,fernanda.rodrigues@outlook.com,+55 (43) 99051-1228,
u_1029,PEDRO.LIMA@UOL.COM.BR,+55 (22) 97246-2354,2023-02-17 10:52:38
u_1030,bruna.alves@uol.com.br,+55 (23) 98042-9956,
u_1031,julia.nunes@outlook.com,+55 (98) 99834-7874,2023-03-22 01:45:03
u_1032,joao.mendes@outlook.com,+55 (69) 98561-4067,2023-01-14 19:11:00
u_1033,LUCAS.SILVA@YAHOO.COM.BR,+55 (82) 99109-2691,2023-09-06 18:32:41
u_1034,julia.santos@yahoo.com.br,+55 (46) 97713-1584,
u_1035,maria.silva@gmail.com,+55 (41) 92640-2267,2023-06-07 20:27:11
u_1036,RAFAEL.PEREIRA@OUTLOOK.COM,+55 (17) 94695-3061,
u_1037,ana.oliveira@outlook.com,+55 (51) 95656-1124,
u_1038,lucas.mendes@hotmail.com,+55 (56) 90930-6416,2023-06-21 02:17:38
u_1039,marcos.nunes@outlook.com,+55 (51) 97459-6881,2023-06-30 04:50:34
u_1040,roberto.lima@gmail.com,+55 (73) 90676-4580,2023-04-29 05:14:05
u_1041,fernanda.ferreira@yahoo.com.br,+55 (22) 93645-9053,
u_1042,PATRICIA.LIMA@YAHOO.COM.BR,+55 (92) 92673-5131,2023-06-09 17:01:48
u_1043,maria.ferreira@gmail.com,+55 (38) 94213-6862,
u_1044,lucas.silva@uol.com.br,+55 (80) 99505-6131,2023-02-02 17:28:01
u_1045,bruna.lima@yahoo.com.br,+55 (67) 97084-3438,2023-09-14 16:24:39
u_1046,camila.pereira@outlook.com,+55 (84) 90438-5262,2023-01-14 04:24:16
u_1047,lucas.santos@uol.com.br,+55 (99) 91658-7315,2023-07-21 21:30:22
u_1048,MARCOS.SOUZA@OUTLOOK.COM,+55 (94) 99179-5386,
u_1049,CAMILA.SILVA@OUTLOOK.COM,+55 (66) 98016-4659,2023-05-29 18:07:22
u_1050,julia.rodrigues@gmail.com,+55 (89) 94997-6766,
u_1051,lucas.lima@outlook.com,+55 (83) 98212-5368,
u_1052,julia.santos@gmail.com,+55 (79) 92864-1745,2023-08-22 13:15:42
u_1053,ROBERTO.FERREIRA@YAHOO.COM.BR,+55 (21) 96778-6061,2023-04-27 07:53:39
u_1054,patricia.ferreira@hotmail.com,+55 (76) 99592-1080,2023-08-01 13:51:13
u_1055,bruna.silva@uol.com.br,+55 (36) 93108-7702,
u_1056,patricia.santos@hotmail.com,+55 (20) 92704-2525,
u_1057,joao.santos@hotmail.com,+55 (40) 97219-1628,
u_1058,maria.costa@uol.com.br,+55 (58) 97064-6164,
u_1059,maria.lima@uol.com.br,+55 (63) 99818-3792,
