event_id,user_email,event_timestamp,event_type,message_details
evt_0b8fe40d,camila.nunes@gmail.com,2023-09-05T19:40:02Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_466"", ""template"": ""v1""}"
evt_c2349fe9,camila.nunes@gmail.com,2023-09-13T19:40:02Z,open,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_828"", ""template"": ""v1""}"
evt_fca1e488,JULIA.SILVA@OUTLOOK.COM,2023-05-24T17:21:39Z,open,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_215"", ""template"": ""v1""}"
evt_5bbce43d,JULIA.SILVA@OUTLOOK.COM,2023-06-23T07:38:48Z,open,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_514"", ""template"": ""v1""}"
evt_a0e5cf65,ana.souza@yahoo.com.br,2023-11-16T17:25:44Z,sent,"{""campaign_code"": ""BROKEN_JSON"", ""oops"": "
evt_18f59d24,ana.souza@yahoo.com.br,2023-04-22T12:44:59Z,sent,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_141"", ""template"": ""v1""}"
evt_5fe73099,marcos.alves@uol.com.br,2023-10-13T08:14:56Z,sent,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_863"", ""template"": ""v1""}"
evt_ecbabcaf,marcos.alves@uol.com.br,2023-03-18T21:05:25Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_765"", ""template"": ""v1""}"
evt_1b39c05b,bruna.oliveira@yahoo.com.br,2023-01-25T02:11:07Z,click,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_244"", ""template"": ""v1""}"
evt_fc0bce2d,BRUNA.SILVA@GMAIL.COM,2023-11-17T03:40:57Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_840"", ""template"": ""v1""}"
evt_05520ad2,BRUNA.SILVA@GMAIL.COM,2023-11-21T03:40:57Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_999"", ""template"": ""v1""}"
