message_id,phone_clean,sent_at_brt,status,campaign_tag
wa_40f45543,5553955826212,2023-08-18 21:41:12,read,[WA] - RETENTION_PHASE1 - Retargeting
wa_7a85d9af,5549984556545,2023-09-13 11:54:58,read,[WA] - BLK_FRIDAY_23 - Batch A
wa_e5d23b4f,5549984556545,2023-12-02 15:01:46,read,[WA] - CASHBACK_OFFER - Retargeting
wa_c559b537,5549984556545,2023-09-22 08:35:19,delivered,[WA] - CREDIT_LIMIT_UP - Batch A
wa_76255baa,5532974292262,2023-03-11 09:56:31,delivered,[WA] - RETENTION_PHASE1 - Retargeting
wa_9d912c4d,5558991435492,2023-03-26 12:09:48,failed,[WA] - CASHBACK_OFFER - V1
wa_0a07a6bf,5558991435492,2023-04-26 11:19:56,read,[WA] - CASHBACK_OFFER - V1
wa_52e65500,5558991435492,2023-03-25 12:09:48,delivered,[WA] - LOAN_OFFER - Retargeting
wa_841aff86,5554947888208,2023-06-12 12:25:32,read,[WA] - CREDIT_LIMIT_UP - V1
wa_619ec5a3,5554947888208,2023-05-13 16:30:10,read,[WA] - RETENTION_PHASE1 - Batch A
wa_c28af7fd,5554947888208,2023-07-01 15:35:27,delivered,[WA] - WELCOME_JOURNEY - Batch A
wa_0a532f40,5554947888208,2023-06-28 15:35:27,read,[WA] - WELCOME_JOURNEY - Retargeting
wa_7f52436e,5578911643751,2023-01-25 15:27:04,failed,[WA] - CREDIT_LIMIT_UP - Batch A
wa_0b5b16da,5578911643751,2023-10-14 10:33:34,delivered,[WA] - RETENTION_PHASE1 - V1
wa_4ea1c95a,5541957388041,2023-06-24 06:11:54,delivered,[WA] - RETENTION_PHASE1 - Retargeting
wa_d7190af8,5541957388041,2023-01-19 09:34:20,read,[WA] - RETENTION_PHASE1 - V1
wa_619cfd68,5541957388041,2023-02-23 02:39:27,read,[WA] - WELCOME_JOURNEY - Retargeting
wa_13f5913a,5591947876188,2023-12-25 22:38:35,read,[WA] - RETENTION_PHASE1 - Batch A
wa_45ed9e87,5577980242484,2023-10-18 01:05:53,read,[WA] - CREDIT_LIMIT_UP - Retargeting
wa_3772aef8,5577980242484,2023-05-05 16:31:39,delivered,[WA] - WELCOME_JOURNEY - Retargeting
wa_4a8b6c52,5577980242484,2023-06-24 15:12:06,failed,[WA] - WELCOME_JOURNEY - Retargeting
wa_d9f32ce6,5577980242484,2023-10-13 13:15:14,read,[WA] - WELCOME_JOURNEY - Retargeting
wa_1ec17c07,5582965488006,2023-05-11 06:15:40,delivered,[WA] - CASHBACK_OFFER - Batch A
wa_31c851a6,5582965488006,2023-07-03 12:21:06,read,[WA] - CASHBACK_OFFER - V1
wa_3ee05f3c,5581951768479,2023-07-28 19:21:41,failed,[WA] - CASHBACK_OFFER - Retargeting
wa_e4bdbfec,5581951768479,2023-07-02 03:29:06,delivered,[WA] - LOAN_OFFER - Retargeting
wa_9ebff142,5581951768479,2023-05-14 03:38:03,delivered,[WA] - RETENTION_PHASE1 - Batch A
